season,character,count,count_type,image
13,Lisa,417.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
13,Marge,597.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
13,Milhouse,69.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
13,Moe,181.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
13,Mr. Burns,151.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
14,Apu,25.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
14,Bart,421.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
14,Chief Wiggum,80.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
14,Flanders,144.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
14,Grampa,25.0,sentence_count,https://img.icons8.com/doodle/48/abraham-simpson.png
14,Homer,1235.0,sentence_count,https://img.icons8.com/doodle/48/homer-simpson.png
14,Krusty,90.0,sentence_count,https://img.icons8.com/doodle/48/krusty-the-clown.png
14,Lenny,57.0,sentence_count,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
14,Lisa,442.0,sentence_count,https://img.icons8.com/doodle/48/lisa-simpson.png
14,Marge,556.0,sentence_count,https://img.icons8.com/doodle/48/marge-simpson.png
14,Milhouse,80.0,sentence_count,https://img.icons8.com/doodle/48/milhouse-van-houten.png
14,Moe,183.0,sentence_count,https://img.icons8.com/doodle/48/bartender-mo.png
14,Mr. Burns,54.0,sentence_count,https://img.icons8.com/doodle/48/charles-montgomery-burns.png
15,Apu,17.0,sentence_count,https://static.simpsonswiki.com/images/0/08/Tapped_Out_Apu_Icon_-_Happy.png
15,Bart,474.0,sentence_count,https://img.icons8.com/doodle/48/bart-simpson.png
15,Chief Wiggum,83.0,sentence_count,https://img.icons8.com/doodle/48/clancy-wiggum.png
15,Flanders,54.0,sentence_count,https://img.icons8.com/doodle/48/ned-flanders.png
