season,raw_character_text,word_count
20,Agnes Skinner,63.0
20,Apu Nahasapeemapetilon,204.0
20,Barney Gumble,39.0
20,Bart Simpson,3248.0
20,C. Montgomery Burns,1013.0
20,Carl Carlson,231.0
20,Chief Wiggum,276.0
20,Cletus Spuckler,49.0
20,Comic Book Guy,237.0
20,Dr. Julius Hibbert,239.0
20,Edna Krabappel-Flanders,125.0
20,Gary Chalmers,471.0
20,Grampa Simpson,558.0
20,Groundskeeper Willie,221.0
20,Homer Simpson,9536.0
20,Jimbo Jones,159.0
20,Kent Brockman,211.0
20,Kirk Van Houten,16.0
20,Krusty the Clown,188.0
20,Lenny Leonard,539.0
20,Lisa Simpson,4240.0
20,Lou,19.0
20,Marge Simpson,4267.0
20,Martin Prince,43.0
20,Mayor Joe Quimby,243.0
20,Milhouse Van Houten,588.0
20,Moe Szyslak,1756.0
20,Ned Flanders,1271.0
20,Nelson Muntz,183.0
20,Otto Mann,41.0
20,Patty Bouvier,78.0
20,Professor Jonathan Frink,164.0
20,Ralph Wiggum,113.0
20,Rev. Timothy Lovejoy,247.0
20,Selma Bouvier,84.0
20,Sideshow Bob,51.0
20,Sideshow Mel,43.0
20,Waylon Smithers,121.0
21,Agnes Skinner,420.0
21,Apu Nahasapeemapetilon,582.0
21,Barney Gumble,121.0
21,Bart Simpson,4914.0
21,C. Montgomery Burns,1286.0
21,Carl Carlson,694.0
21,Chief Wiggum,1400.0
21,Cletus Spuckler,248.0
21,Comic Book Guy,418.0
21,Dr. Julius Hibbert,166.0
21,Duffman,74.0
21,Edna Krabappel-Flanders,775.0
21,Fat Tony,54.0
21,Gary Chalmers,248.0
21,Grampa Simpson,911.0
21,Groundskeeper Willie,209.0
21,Homer Simpson,8116.0
21,Jimbo Jones,102.0
21,Kent Brockman,264.0
21,Kirk Van Houten,28.0
21,Krusty the Clown,889.0
21,Lenny Leonard,533.0
21,Lisa Simpson,3865.0
21,Lou,220.0
21,Marge Simpson,3837.0
21,Martin Prince,114.0
21,Mayor Joe Quimby,198.0
21,Milhouse Van Houten,604.0
21,Moe Szyslak,2150.0
21,Ned Flanders,1168.0
21,Nelson Muntz,492.0
21,Otto Mann,90.0
21,Patty Bouvier,41.0
21,Ralph Wiggum,106.0
21,Rev. Timothy Lovejoy,274.0
21,Selma Bouvier,69.0
21,Sideshow Bob,4.0
21,Sideshow Mel,31.0
21,Waylon Smithers,295.0
22,Agnes Skinner,75.0
22,Apu Nahasapeemapetilon,138.0
22,Barney Gumble,72.0
22,Bart Simpson,4403.0
22,C. Montgomery Burns,933.0
22,Carl Carlson,159.0
22,Chief Wiggum,468.0
22,Cletus Spuckler,31.0
22,Comic Book Guy,354.0
22,Dr. Julius Hibbert,72.0
22,Duffman,21.0
22,Edna Krabappel-Flanders,676.0
22,Fat Tony,717.0
22,Gary Chalmers,672.0
22,Grampa Simpson,885.0
22,Groundskeeper Willie,169.0
22,Homer Simpson,7884.0
22,Jimbo Jones,44.0
22,Kent Brockman,381.0
22,Kirk Van Houten,18.0
22,Krusty the Clown,561.0
22,Lenny Leonard,321.0
22,Lisa Simpson,4776.0
22,Lou,104.0
22,Marge Simpson,3822.0
22,Martin Prince,49.0
22,Mayor Joe Quimby,115.0
22,Milhouse Van Houten,813.0
22,Moe Szyslak,1642.0
22,Ned Flanders,848.0
22,Nelson Muntz,964.0
22,Otto Mann,261.0
22,Patty Bouvier,79.0
22,Professor Jonathan Frink,149.0
22,Ralph Wiggum,73.0
22,Rev. Timothy Lovejoy,2.0
22,Selma Bouvier,455.0
22,Sideshow Mel,40.0
22,Waylon Smithers,516.0
23,Agnes Skinner,73.0
23,Apu Nahasapeemapetilon,246.0
23,Barney Gumble,86.0
23,Bart Simpson,4372.0
23,C. Montgomery Burns,958.0
23,Carl Carlson,255.0
23,Chief Wiggum,613.0
23,Cletus Spuckler,64.0
23,Comic Book Guy,188.0
23,Dr. Julius Hibbert,82.0
23,Duffman,17.0
23,Edna Krabappel-Flanders,365.0
23,Gary Chalmers,800.0
23,Grampa Simpson,561.0
23,Groundskeeper Willie,71.0
23,Homer Simpson,10528.0
23,Jimbo Jones,415.0
23,Kent Brockman,428.0
23,Kirk Van Houten,58.0
23,Krusty the Clown,1114.0
23,Lenny Leonard,710.0
23,Lisa Simpson,3858.0
23,Lou,50.0
23,Marge Simpson,3933.0
23,Martin Prince,197.0
23,Mayor Joe Quimby,331.0
23,Milhouse Van Houten,561.0
23,Moe Szyslak,851.0
23,Ned Flanders,1147.0
23,Nelson Muntz,303.0
23,Otto Mann,33.0
23,Patty Bouvier,129.0
23,Professor Jonathan Frink,391.0
23,Ralph Wiggum,20.0
23,Rev. Timothy Lovejoy,117.0
23,Selma Bouvier,48.0
23,Sideshow Bob,6.0
23,Sideshow Mel,177.0
23,Waylon Smithers,192.0
24,Agnes Skinner,11.0
24,Apu Nahasapeemapetilon,208.0
24,Barney Gumble,41.0
24,Bart Simpson,4022.0
24,C. Montgomery Burns,1170.0
24,Carl Carlson,580.0
24,Chief Wiggum,526.0
24,Cletus Spuckler,293.0
24,Comic Book Guy,92.0
24,Dr. Julius Hibbert,152.0
24,Duffman,38.0
24,Edna Krabappel-Flanders,193.0
24,Fat Tony,200.0
24,Gary Chalmers,341.0
24,Grampa Simpson,1545.0
24,Groundskeeper Willie,165.0
24,Homer Simpson,10948.0
24,Jimbo Jones,82.0
24,Kent Brockman,563.0
24,Kirk Van Houten,187.0
24,Krusty the Clown,199.0
24,Lenny Leonard,830.0
24,Lisa Simpson,3409.0
24,Lou,64.0
24,Marge Simpson,5757.0
24,Martin Prince,42.0
24,Mayor Joe Quimby,152.0
24,Milhouse Van Houten,758.0
24,Moe Szyslak,2252.0
24,Ned Flanders,852.0
