season,number_in_season,episode_id,character,sentence_count,image
25,15,545,Moe,1,https://img.icons8.com/doodle/48/bartender-mo.png
25,15,545,Sideshow Mel,1,https://static.simpsonswiki.com/images/6/6d/Tapped_Out_Sideshow_Mel_Icon.png
25,16,546,Bart,14,https://img.icons8.com/doodle/48/bart-simpson.png
25,16,546,Chalmers,6,https://static.simpsonswiki.com/images/5/58/Tapped_Out_Chalmers_Icon.png
25,16,546,Flanders,1,https://img.icons8.com/doodle/48/ned-flanders.png
25,16,546,Homer,58,https://img.icons8.com/doodle/48/homer-simpson.png
25,16,546,Jimbo,1,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
25,16,546,Krusty,2,https://img.icons8.com/doodle/48/krusty-the-clown.png
25,16,546,Lisa,29,https://img.icons8.com/doodle/48/lisa-simpson.png
25,16,546,Marge,13,https://img.icons8.com/doodle/48/marge-simpson.png
25,16,546,Martin Prince,3,https://static.simpsonswiki.com/images/d/da/Tapped_Out_Martin_Icon.png
25,16,546,Nelson,4,https://static.simpsonswiki.com/images/0/0c/Tapped_Out_Nelson_Icon_-_Brave.png
25,17,547,Bart,33,https://img.icons8.com/doodle/48/bart-simpson.png
25,17,547,Brockman,4,https://static.simpsonswiki.com/images/3/35/Tapped_Out_Brockman_Sidebar.png
25,17,547,Carl,11,https://static.simpsonswiki.com/images/a/a4/Tapped_Out_Carl_Icon.png
25,17,547,Chief Wiggum,17,https://img.icons8.com/doodle/48/clancy-wiggum.png
25,17,547,Cletus,1,https://static.simpsonswiki.com/images/a/a0/Tapped_Out_Cletus_Icon_-_Smiling.png
25,17,547,Groundskeeper Willie,2,https://static.simpsonswiki.com/images/4/40/Tapped_Out_Chainsaw_Willie_Icon_-_Happy.png
25,17,547,Homer,55,https://img.icons8.com/doodle/48/homer-simpson.png
25,17,547,Jimbo,1,https://static.simpsonswiki.com/images/f/f3/Tapped_Out_Jimbo_Icon.png
25,17,547,Lenny,7,https://static.simpsonswiki.com/images/6/6f/Tapped_Out_Lenny_Icon.png
25,17,547,Lisa,30,https://img.icons8.com/doodle/48/lisa-simpson.png
25,17,547,Lou,4,https://static.simpsonswiki.com/images/c/cf/Tapped_Out_Lou_Icon.png
25,17,547,Marge,29,https://img.icons8.com/doodle/48/marge-simpson.png
25,17,547,Milhouse,15,https://img.icons8.com/doodle/48/milhouse-van-houten.png
25,17,547,Moe,5,https://img.icons8.com/doodle/48/bartender-mo.png
25,17,547,Patty,3,https://static.simpsonswiki.com/images/3/31/Tapped_Out_Patty_Sidebar.png
25,17,547,Selma,2,https://static.simpsonswiki.com/images/8/8f/Tapped_Out_Selma_Icon.png
25,18,548,Barney,1,https://img.icons8.com/doodle/48/barney-gumble.png
25,18,548,Bart,67,https://img.icons8.com/doodle/48/bart-simpson.png
25,18,548,Chief Wiggum,1,https://img.icons8.com/doodle/48/clancy-wiggum.png
25,18,548,Dr. Hibbert,9,https://static.simpsonswiki.com/images/d/d5/Tapped_Out_Dr._Hibbert_Icon.png
25,18,548,Duffman,1,https://static.simpsonswiki.com/images/1/18/Tapped_Out_Duffman_Icon.png
25,18,548,Grampa,3,https://img.icons8.com/doodle/48/abraham-simpson.png
25,18,548,Homer,39,https://img.icons8.com/doodle/48/homer-simpson.png
25,18,548,Kirk,4,https://static.simpsonswiki.com/images/6/61/Tapped_Out_Acorn_Kirk_Icon.png
