season,number_in_season,episode_id,character,sentence_count
4,10,69,Chief Wiggum,1
4,10,69,Dr. Hibbert,2
4,10,69,Flanders,30
4,10,69,Grampa,6
4,10,69,Homer,69
4,10,69,Krusty,10
4,10,69,Lisa,18
4,10,69,Marge,43
4,10,69,Patty,6
4,10,69,Selma,4
4,11,70,Apu,2
4,11,70,Barney,4
4,11,70,Bart,10
4,11,70,Carl,1
4,11,70,Chief Wiggum,3
4,11,70,Dr. Hibbert,19
4,11,70,Flanders,5
4,11,70,Grampa,5
4,11,70,Homer,90
4,11,70,Krusty,5
4,11,70,Lenny,1
4,11,70,Lisa,13
4,11,70,Lou,2
4,11,70,Marge,23
4,11,70,Moe,5
4,11,70,Mr. Burns,10
4,11,70,Patty,5
4,11,70,Rev. Lovejoy,2
4,11,70,Selma,2
4,11,70,Sideshow Mel,2
4,11,70,Smithers,3
4,12,71,Apu,5
4,12,71,Barney,4
4,12,71,Bart,15
4,12,71,Brockman,6
4,12,71,Carl,2
4,12,71,Chief Wiggum,10
4,12,71,Dr. Hibbert,1
4,12,71,Flanders,2
4,12,71,Grampa,4
4,12,71,Homer,43
4,12,71,Krusty,2
4,12,71,Lenny,2
4,12,71,Lisa,6
4,12,71,Marge,30
4,12,71,Mayor Quimby,17
4,12,71,Mr. Burns,5
4,12,71,Otto,1
4,12,71,Ralph,1
4,12,71,Selma,1
4,12,71,Smithers,3
4,13,72,Barney,3
4,13,72,Bart,26
4,13,72,Carl,1
4,13,72,Groundskeeper Willie,1
4,13,72,Homer,46
4,13,72,Lisa,21
4,13,72,Marge,32
4,13,72,Patty,11
4,13,72,Selma,46
4,14,73,Bart,37
4,14,73,Brockman,2
4,14,73,Chief Wiggum,2
4,14,73,Dr. Hibbert,2
4,14,73,Edna Krabappel,3
4,14,73,Flanders,1
4,14,73,Grampa,2
4,14,73,Homer,71
4,14,73,Kirk,1
4,14,73,Krusty,5
4,14,73,Lisa,12
4,14,73,Lou,2
4,14,73,Marge,13
4,14,73,Milhouse,3
4,14,73,Nelson,4
4,15,74,Apu,5
4,15,74,Barney,1
4,15,74,Bart,21
4,15,74,Chief Wiggum,20
4,15,74,Flanders,1
4,15,74,Grampa,2
4,15,74,Groundskeeper Willie,3
4,15,74,Homer,33
4,15,74,Jimbo,2
4,15,74,Krusty,19
4,15,74,Lisa,44
4,15,74,Marge,4
4,15,74,Milhouse,4
4,15,74,Moe,2
4,15,74,Patty,1
4,15,74,Ralph,33
4,15,74,Selma,1
4,15,74,Sideshow Mel,1
4,16,75,Barney,13
4,16,75,Bart,20
4,16,75,Chief Wiggum,8
4,16,75,Edna Krabappel,2
4,16,75,Flanders,6
4,16,75,Homer,60
4,16,75,Lisa,23
4,16,75,Lou,1
4,16,75,Marge,27
4,16,75,Martin Prince,1
4,16,75,Milhouse,1
4,16,75,Moe,5
4,16,75,Nelson,2
4,16,75,Otto,1
4,16,75,Patty,2
4,16,75,Rev. Lovejoy,5
4,16,75,Selma,2
4,17,76,Bart,6
4,17,76,Brockman,5
4,17,76,Carl,13
4,17,76,Chief Wiggum,1
4,17,76,Grampa,2
4,17,76,Homer,45
4,17,76,Lenny,12
4,17,76,Lisa,10
4,17,76,Marge,18
4,17,76,Mr. Burns,43
4,17,76,Ralph,3
4,17,76,Smithers,3
4,18,77,Barney,1
4,18,77,Bart,29
4,18,77,Chief Wiggum,2
4,18,77,Dr. Hibbert,4
4,18,77,Flanders,3
4,18,77,Grampa,4
4,18,77,Homer,59
4,18,77,Lenny,1
4,18,77,Lisa,19
4,18,77,Lou,3
4,18,77,Marge,18
4,18,77,Moe,2
4,18,77,Mr. Burns,7
4,18,77,Professor Frink,2
4,19,78,Barney,3
4,19,78,Bart,27
4,19,78,Flanders,5
4,19,78,Grampa,33
4,19,78,Homer,43
4,19,78,Krusty,12
4,19,78,Lisa,25
4,19,78,Marge,15
4,20,79,Apu,1
4,20,79,Barney,3
4,20,79,Bart,28
4,20,79,Brockman,5
4,20,79,Chalmers,22
4,20,79,Chief Wiggum,1
4,20,79,Grampa,5
4,20,79,Groundskeeper Willie,6
4,20,79,Homer,22
4,20,79,Jimbo,6
4,20,79,Lenny,2
4,20,79,Lisa,20
4,20,79,Lou,1
4,20,79,Marge,14
4,20,79,Mayor Quimby,8
4,20,79,Milhouse,1
4,20,79,Nelson,10
4,20,79,Ralph,1
4,20,79,Rev. Lovejoy,2
4,21,80,Apu,11
4,21,80,Barney,1
4,21,80,Bart,16
4,21,80,Brockman,1
4,21,80,Chief Wiggum,7
4,21,80,Dr. Hibbert,3
4,21,80,Flanders,13
4,21,80,Grampa,4
4,21,80,Homer,24
4,21,80,Lisa,12
4,21,80,Lou,1
4,21,80,Marge,30
4,21,80,Mayor Quimby,8
4,21,80,Milhouse,1
4,21,80,Mr. Burns,2
4,21,80,Nelson,2
4,21,80,Otto,1
4,21,80,Patty,1
4,21,80,Professor Frink,1
4,21,80,Rev. Lovejoy,1
4,21,80,Selma,1
4,22,81,Barney,1
4,22,81,Bart,27
4,22,81,Brockman,6
4,22,81,Chief Wiggum,2
4,22,81,Dr. Hibbert,2
4,22,81,Grampa,2
4,22,81,Homer,11
4,22,81,Krusty,54
4,22,81,Lisa,15
4,22,81,Mayor Quimby,1
4,22,81,Milhouse,5
4,22,81,Moe,5
4,22,81,Mr. Burns,1
4,22,81,Nelson,1
4,22,81,Rev. Lovejoy,1
4,22,81,Sideshow Mel,6
4,22,81,Smithers,1
5,1,82,Apu,16
5,1,82,Barney,14
5,1,82,Bart,17
5,1,82,Carl,2
5,1,82,Chief Wiggum,13
5,1,82,Comic Book Guy,1
5,1,82,Flanders,4
5,1,82,Grampa,6
5,1,82,Groundskeeper Willie,2
5,1,82,Homer,61
5,1,82,Lisa,11
5,1,82,Lou,1
5,1,82,Marge,6
5,1,82,Mayor Quimby,2
5,1,82,Milhouse,2
5,1,82,Moe,5
5,1,82,Nelson,2
5,1,82,Rev. Lovejoy,2
5,2,83,Bart,24
5,2,83,Chief Wiggum,12
5,2,83,Edna Krabappel,2
5,2,83,Flanders,6
5,2,83,Grampa,6
5,2,83,Homer,35
5,2,83,Lisa,13
5,2,83,Lou,2
5,2,83,Marge,17
5,2,83,Martin Prince,1
5,2,83,Milhouse,1
